iter	Passed	Remaining
740	4710	1646
741	4717	1640
742	4721	1633
743	4730	1627
744	4734	1620
745	4738	1613
746	4747	1608
747	4753	1601
748	4763	1596
749	4769	1589
750	4778	1584
751	4784	1577
752	4789	1571
753	4795	1564
754	4800	1557
755	4806	1551
756	4811	1544
757	4816	1537
758	4821	1531
759	4827	1524
760	4832	1517
761	4839	1511
762	4843	1504
763	4847	1497
764	4852	1490
765	4858	1484
766	4862	1477
767	4867	1470
768	4873	1463
769	4877	1457
770	4882	1450
771	4888	1443
772	4893	1436
773	4897	1430
774	4903	1423
775	4907	1416
776	4912	1409
777	4917	1403
778	4923	1396
779	4928	1389
780	4933	1383
781	4939	1377
782	4944	1370
783	4948	1363
784	4953	1356
785	4957	1349
786	4962	1342
787	4968	1336
788	4972	1329
789	4977	1323
790	4984	1316
791	4988	1310
792	4993	1303
793	5000	1297
794	5004	1290
795	5008	1283
796	5016	1277
797	5021	1271
798	5026	1264
799	5033	1258
800	5037	1251
801	5041	1244
802	5048	1238
803	5053	1231
804	5057	1225
805	5064	1218
806	5068	1212
807	5073	1205
808	5080	1199
809	5085	1192
810	5090	1186
811	5096	1180
812	5101	1173
813	5105	1166
814	5111	1160
815	5116	1153
816	5120	1146
817	5127	1140
818	5133	1134
819	5137	1127
820	5144	1121
821	5148	1114
822	5153	1108
823	5159	1102
824	5163	1095
825	5168	1088
826	5174	1082
827	5177	1075
828	5181	1068
829	5186	1062
830	5192	1055
831	5196	1049
832	5201	1042
833	5207	1036
834	5211	1029
835	5216	1023
836	5222	1016
837	5228	1010
838	5232	1004
839	5240	998
840	5244	991
841	5248	984
842	5254	978
843	5259	972
844	5264	965
845	5269	959
846	5274	952
847	5278	946
848	5282	939
849	5288	933
850	5293	926
851	5297	920
852	5303	913
853	5307	907
854	5311	900
855	5318	894
856	5322	888
857	5327	881
858	5332	875
859	5338	869
860	5343	862
861	5347	856
862	5352	849
863	5357	843
864	5361	836
865	5367	830
866	5371	824
867	5375	817
868	5381	811
869	5386	804
870	5391	798
871	5396	792
872	5401	785
873	5405	779
874	5410	772
875	5416	766
876	5420	760
877	5424	753
878	5430	747
879	5434	741
880	5439	734
881	5444	728
882	5449	722
883	5453	715
884	5457	709
885	5463	703
886	5467	696
887	5472	690
888	5477	683
889	5481	677
890	5485	671
891	5490	664
892	5496	658
893	5500	652
894	5504	645
895	5510	639
896	5514	633
897	5518	626
898	5524	620
899	5529	614
900	5533	608
901	5537	601
902	5545	595
903	5549	589
904	5553	583
905	5560	576
906	5564	570
907	5568	564
908	5575	558
909	5580	551
910	5584	545
911	5589	539
912	5594	533
913	5598	526
914	5602	520
915	5608	514
916	5612	508
917	5617	501
918	5622	495
919	5627	489
920	5631	483
921	5637	476
922	5641	470
923	5645	464
924	5650	458
925	5656	452
926	5661	445
927	5665	439
928	5671	433
929	5675	427
930	5680	420
931	5686	414
932	5690	408
933	5694	402
934	5700	396
935	5704	390
936	5708	383
937	5713	377
938	5718	371
939	5723	365
940	5727	359
941	5733	353
942	5737	346
943	5742	340
944	5746	334
945	5752	328
